code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
002189,0.537,0.7509,0.6507,0.4911
000619,0.485,0.7509,0.6374,0.4857
300215,0.4524,0.7509,0.7352,0.4694
003033,0.2674,0.75,0.7783,0.5317
000692,0.4622,0.75,1.0688,0.581
600323,0.4536,0.75,0.7126,0.4817
603578,0.4735,0.75,0.6914,0.4348
301052,0.263,0.75,0.8254,0.4411
605056,0.337,0.75,0.6976,0.5212
000591,0.4757,0.75,0.63,0.6263
300978,0.2766,0.75,0.7391,0.5705
300414,0.4538,0.75,0.5987,0.6137
688289,0.3675,0.75,0.9634,0.6018
002628,0.5082,0.75,0.63,0.6187
002808,0.4619,0.75,0.7098,0.4423
000416,0.4984,0.75,0.6594,0.4675
600059,0.4827,0.7491,1.2501,0.499
300722,0.4935,0.7491,0.6248,0.4338
603337,0.4713,0.7491,0.6716,0.4501
000815,0.4497,0.749,0.9666,0.3839
600403,0.4392,0.749,0.7828,0.4182
603986,0.4854,0.7481,0.5988,0.6406
603303,0.4802,0.7473,0.682,0.5675
603658,0.4846,0.7473,0.6104,0.5595
002723,0.4508,0.7473,0.647,0.539
002727,0.5111,0.7473,0.6314,0.5691
600095,0.5165,0.7473,0.615,0.5773
002928,0.4543,0.7473,0.7198,0.5112
600722,0.4273,0.7471,0.7205,0.5935
601989,0.4672,0.7464,0.6424,0.5801
600197,0.5167,0.7464,0.6242,0.4769
002493,0.4628,0.7464,0.6217,0.5934
603817,0.4807,0.7463,0.7605,0.5196
300257,0.4895,0.7463,0.611,0.6501
601816,0.4597,0.7462,0.961,0.4313
601918,0.4297,0.7462,1.2047,0.3432
002285,0.4305,0.7458,0.739,0.4671
603585,0.4009,0.7458,0.6755,0.5363
603815,0.4892,0.7455,0.6722,0.3842
002920,0.4777,0.7455,0.7388,0.4681
000541,0.4764,0.7451,0.629,0.4786
300525,0.4864,0.7451,0.918,0.3441
002972,0.457,0.7446,0.6963,0.5016
002853,0.4914,0.7446,0.6598,0.4538
603212,0.482,0.7444,0.6334,0.6057
603661,0.459,0.7443,0.8672,0.4308
002201,0.5171,0.7436,0.6561,0.511
002949,0.5027,0.7436,0.6218,0.5392
603583,0.4925,0.7436,0.9878,0.433
300204,0.4005,0.7429,1.0786,0.5065
002322,0.4477,0.7428,0.6473,0.44
603088,0.4539,0.7426,0.8114,0.6049
600167,0.44,0.7426,0.647,0.5621
688016,0.4637,0.7426,0.7942,0.5261
002300,0.4454,0.7425,0.9434,0.5462
000757,0.441,0.7419,1.0469,0.4707
002227,0.4536,0.7418,0.7265,0.4869
600060,0.4914,0.7418,0.802,0.4661
000554,0.4524,0.7409,0.7694,0.6722
601011,0.4713,0.7409,0.8876,0.4807
002064,0.5302,0.7409,0.6724,0.4925
300727,0.5053,0.7407,0.784,0.5417
002410,0.4704,0.7407,0.7044,0.5621
002333,0.4291,0.7406,0.7616,0.4126
002772,0.461,0.74,0.8689,0.4332
002938,0.4723,0.7399,0.972,0.5921
600660,0.455,0.7399,0.7363,0.5005
603719,0.4521,0.7396,0.6795,0.5972
605168,0.3945,0.7394,0.7332,0.4837
002560,0.4769,0.7391,0.9302,0.4072
002216,0.4717,0.7391,0.6326,0.4789
300283,0.4849,0.7391,0.6209,0.5915
603050,0.4646,0.7389,0.6766,0.538
603220,0.4554,0.7387,0.6756,0.489
601616,0.4771,0.7387,0.6998,0.5375
000039,0.4753,0.7386,0.6684,0.4484
603833,0.4747,0.7382,1.0642,0.3801
300515,0.5148,0.7382,0.7266,0.5098
601778,0.4338,0.7381,0.7108,0.5909
603836,0.3171,0.7381,0.7288,0.6123
002107,0.4389,0.7375,0.8641,0.4634
688199,0.4943,0.7375,0.6105,0.5082
600491,0.4561,0.7373,0.6424,0.4865
603058,0.4933,0.7373,0.6694,0.6032
002939,0.4533,0.7373,0.6943,0.5261
688598,0.4418,0.7367,0.7787,0.485
002166,0.5135,0.7364,0.6192,0.5836
